Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,1818.699951,1838,1809.150024,1827.25,1827.25,2910564
2017-08-02,1830,1842.949951,1813.050049,1829,1829,2013175
2017-08-03,1822,1828.900024,1772.300049,1785.449951,1785.449951,2997605
2017-08-04,1770,1815.25,1763.550049,1807.949951,1807.949951,2860985
2017-08-07,1810,1817,1793.75,1799.849976,1799.849976,1331197
2017-08-08,1799,1802,1754,1763.550049,1763.550049,2329546
2017-08-09,1756,1774.449951,1736,1741.550049,1741.550049,1982487
2017-08-10,1741.550049,1744.199951,1710.099976,1730.099976,1730.099976,2132127
2017-08-11,1707,1757.300049,1702.150024,1739.400024,1739.400024,3102129
2017-08-14,1752,1786,1750.199951,1778.5,1778.5,1985201
2017-08-16,1778.5,1789,1732,1761.849976,1761.849976,3744611
2017-08-17,1779,1779,1729.300049,1738.099976,1738.099976,1913591
2017-08-18,1734.900024,1737.300049,1708.300049,1720.75,1720.75,1678905
2017-08-21,1721,1753,1710.099976,1716.699951,1716.699951,1432922
2017-08-22,1732,1732,1686,1712.900024,1712.900024,2753748
2017-08-23,1718.699951,1728,1697.599976,1723.25,1723.25,2243348
2017-08-24,1727.800049,1738.949951,1714.400024,1719.449951,1719.449951,1773053
2017-08-28,1719.449951,1719.449951,1719.449951,1719.449951,1719.449951,0
2017-08-24,1727.800049,1738.949951,1714.400024,1719.449951,1719.449951,1773053
